Left_Shoulder_Angle,Right_Shoulder_Angle,Left_Elbow_Angle,Right_Elbow_Angle,Left_Wrist_Angle,Right_Wrist_Angle,Left_Hip_Angle,Right_Hip_Angle,Left_Knee_Angle,Right_Knee_Angle,Neck_Angle,Left_Ankle_Angle,Right_Ankle_Angle,Left_Heel_Angle,Right_Heel_Angle,Left_Foot_Index_Angle,Right_Foot_Index_Angle,Label
282.1491012979003,295.421770705913,176.3646323420477,172.30278192276708,357.97326955727226,355.8706082247841,253.53980977274313,225.89559212899655,99.66278225601624,133.30045663491347,20.794900297551752,103.42460326627034,123.98488325063592,306.96868296087933,313.6870796554554,20.854836829464197,14.199321817693034,1
287.4847377447308,298.31990110554295,176.44574134041653,171.0433950116929,358.00514421740576,355.2366860220559,254.36091850796106,218.47306841914704,93.55004420530526,150.46615297124842,22.190771747172963,100.99714603443664,126.98846163320458,306.01768335365716,298.63209297985406,26.46134620808849,16.287756048575325,1
293.0449818129675,303.24749611788934,175.46345386595272,169.18337519915207,357.43836665808897,354.14442085701177,258.5301643190645,210.98123140733944,90.51906456743528,156.24800822978548,20.988006694210657,94.21053006284151,131.0552534590567,304.0356369312384,294.62373016761376,29.556420190317684,16.36883012867142,1
295.1011642180117,308.3551810404938,175.69130257276424,167.92966977154637,357.5665693598088,353.3912722574368,264.0543629118829,200.9766281340177,98.02871097503993,160.42289116367408,21.25534914829391,90.15377298718758,137.49104371030896,296.5765761355314,294.07582494952237,32.59218523347505,15.702188168231613,1
296.35251653481174,309.95968246929374,176.65299493710427,167.31233929661244,358.1160207298976,353.07548469993606,266.97494002102536,196.98795605104593,100.84943301702488,162.9187680446714,19.473455552350973,80.22924646674255,142.2109550296054,300.31023501046747,291.8943993842021,28.871556545733217,16.23533314209674,1
295.2201034538149,307.3739312212404,175.93808935969935,167.62779008537635,357.7236551690956,353.23882528476526,265.5922257827353,200.3205977316184,99.42273894672198,161.87277447334932,21.499969645998863,85.50173902087111,139.49063282897058,296.8239216738273,291.6556276199997,27.23396949218807,16.55988776639881,1
295.24871432145017,305.8208665498502,175.5617558917677,167.9690101122724,357.5145725221587,353.3930603233962,261.14282290110555,199.84861836555274,97.21946196695623,170.4767514406469,20.751306977943322,82.1205053933993,126.14327845504738,303.4161426273886,295.3146554753898,29.40783480897056,16.526929931870878,1
288.2860541404915,298.13890638883686,175.73496048538198,168.531163738535,357.6030188574705,353.83785972533866,257.42544765266894,208.79120431545746,87.19760751107341,176.3013140015066,21.95007608796692,105.26400115610653,116.15481246824432,308.2697560946173,294.58316278902043,25.969459574478517,16.572880513564115,1
282.79862214185584,293.7013567136338,175.99239206919447,165.83583150638358,357.75932042580274,352.3665551786273,253.72924692147652,219.6048585366293,84.52920131485324,175.6521852989744,20.24397914708656,115.76367182708182,107.65016292625992,311.6354643823139,296.2612436900035,18.495397952829872,15.647336740962851,1
277.7265244275794,293.04737626843024,176.14562420558303,164.95809265589764,357.8466734214209,352.03922929118596,250.8794007067423,231.6558726003521,91.30270527215923,161.57766952558944,18.66306789333545,137.22486398377325,77.15488914576781,304.159579360178,327.5329056384041,15.669355832963378,12.274933531535407,1
273.05251439259155,290.9296413230589,176.37047904571028,164.57009409216653,357.96038143389546,351.915941817445,247.55504409578427,243.99045080254584,119.7874217420741,138.9281410688482,16.77609945374967,120.62352680786718,96.70297338319536,315.721055188612,318.12060431866627,15.102662455076837,14.385836134970763,1
272.68259615135287,294.0981695058524,176.6445415225911,164.84325191921337,358.1042721676052,352.1365684092205,239.25067447872527,248.8884522924306,143.31622512990387,112.88185836925317,18.945422245447713,114.97005372746793,132.95635229952302,318.7382835942423,306.02776488306256,14.263568929494285,15.551640568753514,1
275.3435397006365,295.45303983455597,176.78007687849862,165.20075574276558,358.1719873258533,352.42936134711323,230.5455880749466,255.17640480968112,153.34043800409174,85.3976519255918,20.591919388773672,147.17213567665152,144.0288209928945,287.85043761908787,295.41043082996356,13.51897724764333,21.535598065711017,1
275.47087821029726,302.75344950103073,176.3708449740124,164.98304099080556,357.94327898647504,352.4019999047375,231.74187548238405,255.8535831775429,149.85541545770232,75.37924747274337,20.9681290751922,158.79423262680163,144.26630898127758,281.17030309491287,296.3610359436686,14.503416332815453,25.093827844772672,1
280.94983199115217,307.29157575570184,177.42088688154186,166.31156397218277,358.54487320586315,353.20574426031266,222.67533686881612,258.83162219978453,151.22369923947912,69.57665371362927,21.340478959430854,160.44552800982265,143.6196157196256,280.5085949848543,296.43702472641064,13.575901670339006,28.397787625903117,1
285.08945807894975,311.79961328416823,177.13888751427515,165.28747274999543,358.3943272196081,352.78962877301683,215.99810915311147,258.21199544446824,155.3974191040057,60.680250684314,22.242656749645946,153.87732332792265,147.66976165109304,284.93123744933007,288.748089516101,14.088743765030527,26.97148260416642,1
286.75018523414457,312.6288196057621,177.0299850114841,164.3388537034686,358.335335453309,352.49269183426026,213.64029213201204,257.79267897330556,156.84813619653113,61.68120103689806,24.69455256713421,148.28845138068658,137.82413573631734,288.1196684917909,301.6542886452079,13.654237136693359,26.78492853252412,1
286.2807871678266,310.65777058478847,176.88341993260752,164.48523518060827,358.2513519711598,352.6446949688911,216.44824387008896,251.5208994838619,154.4968380934184,65.65345439027678,25.105587377936377,142.60320033059537,146.64704463434953,292.5719574196048,302.79010023880204,15.161486640137298,28.029860350632088,1
