iter	MultiClass
0	6.730807016
1	6.707453548
2	6.690031257
3	6.669990426
4	6.65172491
5	6.628507947
6	6.608842408
7	6.590253124
8	6.570051805
9	6.550471058
10	6.529723443
11	6.507092649
12	6.48575213
13	6.464505149
14	6.441987074
15	6.424661095
16	6.403047865
17	6.382944441
18	6.35977969
19	6.338165767
20	6.320062684
21	6.29753344
22	6.281373448
23	6.264837117
24	6.243890648
25	6.222767439
26	6.202340968
27	6.181695597
28	6.160774029
29	6.140640144
30	6.121801255
31	6.106859045
32	6.087765577
33	6.066318517
34	6.048212562
35	6.029158296
36	6.012670526
37	5.993022285
38	5.972378382
39	5.954026042
40	5.934044494
41	5.91305866
42	5.894759101
43	5.878017345
44	5.857840903
45	5.840948892
46	5.82396605
47	5.804246029
48	5.787181056
49	5.766653549
50	5.749239698
51	5.735154707
52	5.715876081
53	5.697982334
54	5.683322842
55	5.666767815
56	5.64972425
57	5.631772513
58	5.612595667
59	5.594415873
60	5.576779929
61	5.560916855
62	5.544437519
63	5.527495355
64	5.509073649
65	5.493210356
66	5.479461436
67	5.468614977
68	5.449088529
69	5.43476728
70	5.415243271
71	5.398696796
72	5.379292218
73	5.36056934
74	5.343390887
75	5.325540046
76	5.311047612
77	5.295007943
78	5.277523491
79	5.2596384
80	5.242353123
81	5.224645312
82	5.214273444
83	5.202116929
84	5.184364497
85	5.171137148
86	5.154748719
87	5.138899143
88	5.122709912
89	5.105976837
90	5.090684368
91	5.075229983
92	5.061434212
93	5.044393556
94	5.031456262
95	5.01606484
96	4.999615469
97	4.984327094
98	4.971668086
99	4.958143977
100	4.942443976
101	4.925316512
102	4.911508682
103	4.896635801
104	4.88100882
105	4.867140161
106	4.855419912
107	4.841702254
108	4.826291296
109	4.811888121
110	4.797167337
111	4.787947306
112	4.774836522
113	4.761978396
114	4.746463469
115	4.732135588
116	4.718716179
117	4.705323084
118	4.692619488
119	4.679253392
120	4.66586034
121	4.651944032
122	4.637807003
123	4.624227174
124	4.609628477
125	4.595994164
126	4.582758093
127	4.570720203
128	4.556450493
129	4.542985451
130	4.530356812
131	4.516387212
132	4.503883807
133	4.489121025
134	4.474242732
135	4.462482344
136	4.454038294
137	4.442696319
138	4.431160017
139	4.419122513
140	4.409647305
141	4.397654665
142	4.385745786
143	4.374082414
144	4.36321144
145	4.351771825
146	4.339491617
147	4.328722834
148	4.320342372
149	4.308015812
150	4.295244094
151	4.28775947
152	4.275453225
153	4.266626322
154	4.257755707
155	4.245924553
156	4.235737939
157	4.223762541
158	4.211630498
159	4.199499591
160	4.187591211
161	4.176624296
162	4.16585764
163	4.155577697
164	4.144427114
165	4.134788626
166	4.125138378
167	4.115107148
168	4.10373237
169	4.094167096
170	4.085604621
171	4.076290434
172	4.06667188
173	4.055509911
174	4.047715314
175	4.039634127
176	4.03083752
177	4.022184527
178	4.013575863
179	4.00495217
180	3.994461871
181	3.985263848
182	3.975161119
183	3.965720945
184	3.958025593
185	3.947357107
186	3.938253293
187	3.929063924
188	3.921666094
189	3.913556084
190	3.905076339
191	3.897510418
192	3.888522955
193	3.881133355
194	3.872602189
195	3.862423771
196	3.854863419
197	3.846344157
198	3.838521234
199	3.82919938
200	3.821735562
201	3.8141557
202	3.807400944
203	3.799487099
204	3.790209771
205	3.78229144
206	3.776490157
207	3.771701315
208	3.765020753
209	3.756780603
210	3.749183552
211	3.741408526
212	3.7349668
213	3.727755236
214	3.721303865
215	3.713193752
216	3.705976505
217	3.69822476
218	3.690946017
219	3.685512287
220	3.679180683
221	3.673870991
222	3.667123384
223	3.661788588
224	3.655547311
225	3.647596591
226	3.64077684
227	3.633613557
228	3.627271499
229	3.620641435
230	3.614251504
231	3.608148315
232	3.603966384
233	3.597293297
234	3.58971648
235	3.583128655
236	3.575956362
237	3.569761862
238	3.563831128
239	3.558315191
240	3.552686747
241	3.547442702
242	3.540969426
243	3.534713056
244	3.529735501
245	3.525555716
246	3.520237924
247	3.5150035
248	3.509543829
249	3.503483431
250	3.499687263
251	3.493825799
252	3.489216672
253	3.484057677
254	3.478217119
255	3.471410804
256	3.467458289
257	3.462641506
258	3.45593625
259	3.450250098
260	3.445828617
261	3.440913922
262	3.436370092
263	3.432432325
264	3.428228445
265	3.42450703
266	3.418324671
267	3.412626765
268	3.408024423
269	3.403079353
270	3.398362087
271	3.39420661
272	3.389081403
273	3.383738075
274	3.378359381
275	3.373961138
276	3.368213062
277	3.363429247
278	3.358314057
279	3.353713856
280	3.348282917
281	3.342884974
282	3.338092609
283	3.333591173
284	3.329069479
285	3.32474549
286	3.319898962
287	3.315811824
288	3.311539529
289	3.306964742
290	3.301781036
291	3.297017926
292	3.293165334
293	3.288523004
294	3.284473166
295	3.279485003
296	3.275570221
297	3.272222914
298	3.26709588
299	3.263913049
300	3.25939572
301	3.255518103
302	3.252011917
303	3.247361429
304	3.242735962
305	3.239090304
306	3.235777888
307	3.231525187
308	3.228584001
309	3.224281793
310	3.220597979
311	3.217091227
312	3.212918016
313	3.209578642
314	3.20693978
315	3.202291746
316	3.198280003
317	3.194290382
318	3.191063312
319	3.188042958
320	3.184850793
321	3.180994168
322	3.177452595
323	3.173401695
324	3.169754979
325	3.166062291
326	3.163055216
327	3.159788503
328	3.156008104
329	3.152495275
330	3.148787899
331	3.144835525
332	3.141825549
333	3.138855807
334	3.135216932
335	3.13225109
336	3.129243835
337	3.12599994
338	3.122943195
339	3.120408369
340	3.117187688
341	3.113614101
342	3.110321023
343	3.106770136
344	3.104481139
345	3.101214004
346	3.098795553
347	3.095818359
348	3.092908227
349	3.090538839
350	3.087910761
351	3.084494531
352	3.082028307
353	3.078941651
354	3.076360943
355	3.073526149
356	3.070705632
357	3.067752495
358	3.06511941
359	3.063359715
360	3.060711707
361	3.057768731
362	3.055314581
363	3.052452168
364	3.049521956
365	3.046920014
366	3.043810788
367	3.040532352
368	3.037647607
369	3.035018655
370	3.032675751
371	3.030159084
372	3.027513345
373	3.024639093
374	3.02247086
375	3.020371644
376	3.017981403
377	3.015432382
378	3.013313356
379	3.010573724
380	3.007688982
381	3.005131118
382	3.002138005
383	2.999950351
384	2.997513763
385	2.99554676
386	2.993457048
387	2.991176361
388	2.98884034
389	2.986494835
390	2.984610579
391	2.982319983
392	2.980023712
393	2.977799396
394	2.975022878
395	2.972962294
396	2.970907708
397	2.968764274
398	2.966856066
399	2.96439107
400	2.962443643
401	2.960092854
402	2.957632495
403	2.955599216
404	2.953857864
405	2.951659636
406	2.950222362
407	2.948486168
408	2.947124931
409	2.945355166
410	2.943304435
411	2.940823873
412	2.938814899
413	2.936344887
414	2.934312742
415	2.93249294
416	2.930250058
417	2.928328698
418	2.926353
